VoltageMin,VoltageAvg,VoltageMax,CurrentMin,CurrentAvg,CurrentMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FreqMin,FreqAvg,FreqMax,Index
230,497808985178,235,497808985178,240,497808985178,9,50837097387219,11,5083709738722,13,5083709738722,2439,17653440197,2574,68634186875,2710,19614933552,271,019614933552,406,529422400329,542,039229867105,2710,19614933552,2845,7059568023,2981,21576426908,50,053588013795,50,153588013795,50,253588013795,0
225,334083866484,230,334083866484,235,334083866484,26,4790005993466,28,4790005993466,30,4790005993466,5903,71606123518,6231,70028685936,6559,68451248353,655,968451248353,983,95267687253,1311,93690249671,6559,68451248353,6887,66873810771,7215,65296373189,50,0778574370676,50,1778574370676,50,2778574370676,1
229,460637855558,234,460637855558,239,460637855558,14,4304852515601,16,4304852515601,18,4304852515601,3467,07184712141,3659,68694973926,3852,30205235712,385,230205235712,577,845307853568,770,460410471424,3852,30205235712,4044,91715497498,4237,53225759283,49,9579141564937,50,0579141564937,50,1579141564937,2
233,71669597864,238,71669597864,243,71669597864,21,6602805618477,23,6602805618477,25,6602805618477,5083,29360148674,5365,69880156934,5648,10400165193,564,810400165193,847,21560024779,1129,62080033039,5648,10400165193,5930,50920173453,6212,91440181713,50,0510517365071,50,1510517365071,50,2510517365071,3
231,092207439287,236,092207439287,241,092207439287,16,2660876066732,18,2660876066732,20,2660876066732,3881,23284990498,4096,85689712192,4312,48094433887,431,248094433887,646,87214165083,862,496188867773,4312,48094433887,4528,10499155581,4743,72903877275,50,0760956400894,50,1760956400894,50,2760956400894,4
230,571274899678,235,571274899678,240,571274899678,12,570488568661,14,570488568661,16,570488568661,3089,1497112276,3260,76913962913,3432,38856803066,343,238856803066,514,858285204599,686,477713606133,3432,38856803066,3604,0079964322,3775,62742483373,49,9175630355336,50,0175630355336,50,1175630355336,5
227,242462892198,232,242462892198,237,242462892198,11,8948771841335,13,8948771841335,15,8948771841335,2904,28244894499,3065,63147388638,3226,98049882777,322,698049882777,484,047074824165,645,396099765553,3226,98049882777,3388,32952376915,3549,67854871054,49,9890832420853,50,0890832420853,50,1890832420853,6
226,914427882021,231,914427882021,236,914427882021,8,62592563248515,10,6259256324852,12,6259256324852,2217,87491739722,2341,09019058596,2464,30546377469,246,430546377469,369,645819566204,492,861092754938,2464,30546377469,2587,52073696343,2710,73601015216,49,9948720208811,50,0948720208811,50,1948720208811,7
229,968225618344,234,968225618344,239,968225618344,12,206231713391,14,206231713391,16,206231713391,3004,21175257668,3171,11240549761,3338,01305841853,333,801305841853,500,70195876278,667,602611683707,3338,01305841853,3504,91371133946,3671,81436426039,50,0469039251781,50,1469039251781,50,2469039251781,8
228,109670506376,233,109670506376,238,109670506376,22,4630364209707,24,4630364209707,26,4630364209707,5132,31332371016,5417,44184169405,5702,57035967795,570,257035967795,855,385553951692,1140,51407193559,5702,57035967795,5987,69887766185,6272,82739564575,49,919660915071,50,019660915071,50,119660915071,9
233,642743480691,238,642743480691,243,642743480691,24,5119431896656,26,5119431896656,28,5119431896656,5694,19457200743,6010,53871489673,6326,88285778603,632,688285778604,949,032428667905,1265,37657155721,6326,88285778603,6643,22700067534,6959,57114356464,49,9424411305424,50,0424411305424,50,1424411305424,10
231,204702843076,236,204702843076,241,204702843076,19,1036304249911,21,1036304249911,23,1036304249911,4486,2990781006,4735,53791577286,4984,77675344511,498,477675344511,747,716513016767,996,955350689023,4984,77675344511,5234,01559111737,5483,25442878963,49,9388742204937,50,0388742204937,50,1388742204937,11
230,215391062766,235,215391062766,240,215391062766,17,5863541167166,19,5863541167166,21,5863541167166,4146,31074875158,4376,66134590444,4607,01194305731,460,701194305731,691,051791458596,921,402388611462,4607,01194305731,4837,36254021017,5067,71313736304,49,9905840682288,50,0905840682288,50,1905840682288,12
231,400304402411,236,400304402411,241,400304402411,15,4478781071714,17,4478781071714,19,4478781071714,3712,21532614035,3918,44951092592,4124,6836957115,412,46836957115,618,702554356724,824,936739142299,4124,6836957115,4330,91788049707,4537,15206528265,49,9395662457866,50,0395662457866,50,1395662457866,13
227,331929850547,232,331929850547,237,331929850547,8,88149963919143,10,8814996391914,12,8814996391914,2275,30782975723,2401,7138202993,2528,11981084137,252,811981084137,379,217971626206,505,623962168274,2528,11981084137,2654,52580138344,2780,93179192551,50,0187729968311,50,1187729968311,50,2187729968311,14
232,015250323813,237,015250323813,242,015250323813,18,1543958718676,20,1543958718676,22,1543958718676,4299,20926442633,4538,05422356113,4776,89918269593,477,689918269593,716,534877404389,955,379836539185,4776,89918269593,5015,74414183072,5254,58910096552,50,0893457297186,50,1893457297186,50,2893457297186,15
233,058808105094,238,058808105094,243,058808105094,8,58910779682412,10,5891077968241,12,5891077968241,2268,74734290748,2394,78886195789,2520,83038100831,252,083038100831,378,124557151246,504,166076201661,2520,83038100831,2646,87190005872,2772,91341910914,50,0698893449129,50,1698893449129,50,2698893449129,16
226,737544658472,231,737544658472,236,737544658472,8,79848158210445,10,7984815821045,12,7984815821045,2252,17224708895,2377,29292748278,2502,41360787661,250,241360787661,375,362041181492,500,482721575323,2502,41360787661,2627,53428827044,2752,65496866428,50,0708431213958,50,1708431213958,50,2708431213958,17
